data,autor,partido,uf,discurso
09/04/2019,MARIA DO ROSÁRIO,PT,RS,"Sr. Presidente, a questão de ordem que apresento é com base no art. 32, inciso IV, e no art. 47, parágrafo único. As atribuições da Comissão de Constituição e Justiça dizem respeito à admissibilidade da matéria, quando se trata de emenda à Constituição. Somos nós os mais próximos aqui com possibilidade de apresentarmos alterações constitucionais. É claro e óbvio que nós não somos constituintes originários; somos derivados. E, portanto, há matérias em que nem nós podemos. No entanto, para fazermos esse trabalho com adequação, é preciso conhecermos o texto do Relator. O art. 47 determina que o Presidente da Comissão Permanente organize a Ordem do Dia de suas reuniões ordinárias e extraordinárias de acordo com os critérios fixados no Capítulo IX do Título V. Há, contudo, um parágrafo único, e peço aos colegas atenção para isto:  Finda a hora dos trabalhos, o Presidente anunciará a Ordem do Dia da reunião seguinte (...).  Mesmo em circunstâncias difíceis, no final da ordem dos trabalhos, na reunião anterior, nós podemos dizer que V.Exa. cumpriu rigorosamente e anunciou para hoje. Estávamos avisados sobre a PEC 6, que trata da reforma da Previdência. Contudo, não se está cumprido, Sr. Presidente, o dispositivo que segue aqui no parágrafo único, que diz: (...) dando-se ciência da pauta respectiva às Lideranças e distribuindo-se os avulsos com antecedência de pelo menos vinte e quatro horas . Então, senhores e senhoras, eu quero considerar que, se os avulsos devem ser distribuídos para uma antecedente posição de cada partido, Liderança e Parlamentares, para reunião da Comissão, deve acontecer mais ainda quando se trata de um relatório de alteração de emenda constitucional. Ainda mais, Deputado Felipe Francischini, prezado Presidente, com a resposta que V.Exa. deu ao Deputado Afonso Motta em questão de ordem, que V.Exa. tem a prerrogativa de fazer. Eu não Reunião de: 09/04/2019 concordo com a decisão, mas V.Exa. está aí para tomar as decisões. Com a decisão que V.Exa. tomou, tiram-se poderes dos Parlamentares. Então, nós não podemos sequer apresentar emendas, mas não sabemos. Todo o poder é do Relator, e nós não temos o relatório."
09/04/2019,FELIPE FRANCISCHINI,PSL,PR,Peço que conclua.
09/04/2019,MARIA DO ROSÁRIO,PT,RS,"Eu quero arguir que nós não podemos ter o relatório apresentado à sessão sem antes ele ser distribuído, como prevê o art. 47, para que possamos discuti-lo adequadamente. É isso, Sr. Presidente."
09/04/2019,GILSON MARQUES,NOVO,SC,"Sr. Presidente, eu tenho a resposta da questão de ordem..."
09/04/2019,FELIPE FRANCISCHINI,PSL,PR,Perfeito. Apenas...
09/04/2019,GILSON MARQUES,NOVO,SC,Eu tenho precedente...
09/04/2019,FELIPE FRANCISCHINI,PSL,PR,"Deputado, eu vou responder à Deputada Maria do Rosário apenas dizendo que vou indeferir de face essa questão de ordem. Essa é uma questão para a qual já há um precedente bastante assentado aqui na Casa. Inclusive, pedirei vênia aos senhores para que possa proceder à leitura rápida, apenas ao escopo, da Questão de Ordem nº 93, decidida no ano de 2003, em que:  O parecer do Relator poderá ser oferecido antecipadamente, quando então a hipótese de distribuição dos avulsos estará contemplada, como também poderá ser oferecido até o início da discussão da matéria  Š que não se iniciou Š,  quando então será necessária a leitura do parecer . Então, não compete a mim a apresentação do relatório no sistema, previamente à leitura ou não. É uma decisão do Relator. É uma questão já assentada em toda a história aqui da Casa de que é permitida, é dada ao Relator a leitura, sem a propositura no sistema."
09/04/2019,MARIA DO ROSÁRIO,PT,RS,Posso dialogar com V.Exa.? V.Exa. poderia dizer novamente o artigo e a questão de ordem em que embasou a resposta?
09/04/2019,FELIPE FRANCISCHINI,PSL,PR,"O artigo é o 57, inciso VI, e Questão de Ordem nº 93, de 2003."
09/04/2019,MARIA DO ROSÁRIO,PT,RS,"Sr. Presidente, essa questão de ordem diz respeito à PEC?"
09/04/2019,FELIPE FRANCISCHINI,PSL,PR,"A matérias em geral, Deputada."
09/04/2019,MARIA DO ROSÁRIO,PT,RS,Eu argumentei sobre a questão de emenda constitucional. V.Exa. pode me responder? V.Exa. acredita que a tramitação de PEC equivale?
09/04/2019,FELIPE FRANCISCHINI,PSL,PR,"É uma questão geral da Casa. Equivale, Deputada. Caso haja alguma questão, o recurso também está à sua disposição."
09/04/2019,LUIZ FLÁVIO GOMES,PSB,SP,"Sr. Presidente, na ordem..."
09/04/2019,PAULO AZI,DEM,BA,"Questão de ordem, Sr. Presidente."
09/04/2019,FELIPE FRANCISCHINI,PSL,PR,"Primeiro tem a palavra, para questão de ordem, o Deputado Luiz Flávio Gomes e após V.Exa., Deputado Paulo Azi, por ordem de inscrição. Com a palavra o Deputado Luiz Flávio Gomes."
09/04/2019,LUIZ FLÁVIO GOMES,PSB,SP,Sr. Presidente...
09/04/2019,FELIPE FRANCISCHINI,PSL,PR,"Qual dispositivo, Deputado?"
09/04/2019,LUIZ FLÁVIO GOMES,PSB,SP,"Art. 171. O art. 171 diz o seguinte:  Os Deputados que desejarem discutir proposição incluída na Ordem do Dia devem inscrever- se previamente na Mesa, antes do início da discussão. Portanto, nós todos estamos com direito assegurado de participar dos debates. Evidentemente faz parte da democracia, etc. Agora, o que ocorreu, Sr. Presidente? Houve um anúncio da Presidência de que todos nós poderíamos nos inscrever às 13h45min. De fato, muitos de nós, foi o meu caso, só puderam vir para cá às treze e pouco Š cheguei aqui às 13h40min, 5 minutos antes. E fui notificado, avisado pelos colegas que esta lista já estava toda preenchida e que, portanto, mesmo nós que cumprimos o horário, tal como estabelecido por V.Exa., não participaríamos, não seria mais possível participarmos dos debates. Reunião de: 09/04/2019 Acho que é uma questão de justiça, Sr. Presidente. A regra do jogo foi estabelecida. E nós cumprimos as regras do jogo, estivemos direitinho, tal como estava marcado. Chegamos aqui e já havia uma lista de 16 ou de 19. Não houve possibilidade de nós nos inscrevermos. Temos que encontrar uma solução justa para buscarmos um ponto equitativo e possibilitarmos aos colegas que cumpriram o horário que outra vez se restabeleça a lista. Em suma, temos que debater, achar uma solução para isso. Agora, é verdade que aqueles que se inscreveram ao meio-dia e meia chegaram antes. Mas meio-dia e meia não era o fixado, não era o estabelecido. Então, que pegassem aqueles que chegaram antes e, quando fosse 13h45min, ratificassem a fala deles, pois chegaram antes, mas aqueles que estavam lá às 13h45min naturalmente ficariam para depois, Sr. Presidente. Creio que é um anseio de todos, é uma questão de regra e de justiça estabelecer aqui uma paridade de condição entre todos os colegas, todos que fazem parte desta Comissão. Essa é a questão de ordem, com base nesse dispositivo, tentando assegurar o direito de fala aos colegas."
09/04/2019,FELIPE FRANCISCHINI,PSL,PR,"Perfeito, Deputado. Hoje falei com o Deputado João H. Campos sobre essa questão. Pela manhã eu me deparei com muitas ligações de Deputados, principalmente do Rio de Janeiro e alguns de São Paulo, que, em virtude daquela tragédia que aconteceu e está acontecendo ainda no Rio de Janeiro, tiveram seus voos cancelados. Vejo que muitos Deputados do Rio de Janeiro nem presentes estão, porque acredito que se encontram na ponte aérea ainda, e eu tinha que tomar uma decisão. E a decisão que tomei foi a de respeitar todos os Deputados que já estavam há horas na fila, principalmente o Deputado Coronel Armando, que foi o primeiro a chegar na fila, entre outros Deputados, e encerrar naquele momento Š 15 minutos para as 10 horas Š a lista. Consultei os Líderes, consultei os Deputados que estavam no Rio de Janeiro e, para manter essa equidade Š eles não estão aqui não é porque não querem, mas porque realmente houve aquela questão no Rio de Janeiro, o que acabou afetando o tráfego aéreo do Brasil inteiro, porque existem voos que saem do Rio de Janeiro que fazem conexão em Minas Gerais, São Paulo, Goiás Š, tomei esta decisão, que não causa prejuízo a ninguém, ao meu ver, porque vou reabrir a ordem de inscrição no dia da discussão do projeto, o que será na segunda-feira ou na terça-feira da semana que vem. Portanto, não haverá prejuízo para ninguém: nem para quem não pôde vir por motivos alheios à sua vontade, nem por quem não estava na fila. Eu cancelaria de qualquer maneira naquele momento, e preferi também conceder essa questão aos Deputados que vieram antes, que ficaram horas na fila, para que não ficassem prejudicados. Então, está assegurada a questão. Será reaberta a lista, e V.Exa. poderá se inscrever também de maneira oportuna."
09/04/2019,LUIZ FLÁVIO GOMES,PSB,SP,"Agora temos um problema: segunda-feira vamos estabelecer outra vez o horário, só que, se alguém chegar aqui às 6 horas da manhã, certamente vai tomar outra vez o lugar daqueles outros. Então, eu acho que tínhamos que buscar, Sr. Presidente, uma solução mais equitativa. Este é o tipo de tema e de projeto em que vale a pena ouvir a opinião dos colegas. Todo mundo vai querer opinar, pelo menos os titulares. E, na eventualidade de uma falta, então, sim, falam também os suplentes. Mas, com certeza, se houver esta decisão equitativa, garantindo a fala de todos, todos vão querer falar. É um tema muito relevante, e estamos discutindo um ponto central de alteração."
09/04/2019,FELIPE FRANCISCHINI,PSL,PR,"Deputado, questão vencida. Apenas quero deixar assegurado. Após esta reunião da nossa Comissão, podemos convocar uma reunião dos coordenadores na sala da Presidência, a fim de estipularmos alguns critérios para a semana que vem. No entanto, sobre esta questão de um Deputado chegar mais cedo do que outros, eu vejo também que é algo que não pode ser deixado de lado. O Deputado que chegar mais cedo vai ter precedência para falar. Então, está assegurado, questão decidida. Tem a palavra, agora, o Deputado Paulo Azi para que proceda à sua questão de ordem. Pode ter certeza, Deputado Luiz Flávio Gomes, de que não haverá prejuízo para nenhum Deputado ou nenhuma Deputada, nesta Comissão, na questão da ordem de inscrição."
09/04/2019,LUIZ FLÁVIO GOMES,PSB,SP,"Fica, então, meu pedido final, Sr. Presidente, até porque não quero me estender desnecessariamente: fixe a regra. Em caso de horário marcado, se alguém chegar antes, porque aí todos nós já teremos tido ciência disso Š eu até estava na Casa..."
09/04/2019,FELIPE FRANCISCHINI,PSL,PR,"Deputado, essa é uma questão do Deputado que chegar antes. Matéria vencida. Vamos conversar na minha sala e depois definimos algumas questões. Reunião de: 09/04/2019 Com a palavra o Deputado Paulo Azi.  (Pausa.)"
09/04/2019,GLEISI HOFFMANN,PT,PR,"Sr. Presidente, peço um esclarecimento."
09/04/2019,FELIPE FRANCISCHINI,PSL,PR,Após o Deputado Paulo Azi.
09/04/2019,PAULO AZI,DEM,BA,"A minha questão de ordem refere-se exatamente à que foi levantada anteriormente. V.Exa. acabou de informar que pretende reabrir as inscrições para segunda-feira ou terça-feira. Eu quero apenas ponderar que segunda-feira é complicado para os Deputados, porque eles teriam que chegar aqui pela manhã, e sei que as inscrições se encerram no início da discussão. Se V.Exa. porventura decidir reabrir na segunda, os Parlamentares todos vão ter que chegar aqui domingo à noite ou segunda pela manhã cedo. Então, a ponderação que faço a V.Exa. é: no dia em que for realmente abrir a inscrição, a não ser que se faça um acordo, que se permita a inscrição mesmo durante a discussão da matéria, porque, senão, todo mundo vai ter que chegar aqui domingo para se inscrever. Eu entendo que V.Exa. foi justo com aqueles que não puderam vir, justo com aqueles que chegaram cedo, mas não pode ser injusto com aqueles que chegaram no horário estabelecido não só pelo Regimento, mas pelo termo de acesso para se inscrever, e não o fizeram. Então, esta é ponderação que eu faço a V.Exa.: que se tenha o cuidado de, quando se estabelecer exatamente o horário de abertura de inscrição, para essa questão de acesso aos Deputados que virão dos seus Estados."
09/04/2019,IVAN VALENTE,PSOL,SP,"Presidente, questão de ordem."
09/04/2019,FELIPE FRANCISCHINI,PSL,PR,"Perfeito. Deputado, levarei em consideração a sua ponderação e na reunião, daqui a pouco, decidiremos isso. Questão de ordem, Deputado?  (Pausa.) Primeiro, passo a palavra à Deputada Gleisi Hoffmann. Trata-se de questão de ordem também, Deputada?"
09/04/2019,GLEISI HOFFMANN,PT,PR,"Não. Eu queria um esclarecimento Š é rápido Š sobre a sua decisão em relação ao relatório ser publicado ou não. V.Exa. citou o art. 57, inciso VI..."
09/04/2019,FELIPE FRANCISCHINI,PSL,PR,"Deputada, V.Exa. não é membro da Comissão. Então, não cabe questão de ordem."
09/04/2019,GLEISI HOFFMANN,PT,PR,Mas estou aqui como Líder. Essa matéria é relevante. Eu gostaria de saber se o precedente de 2003...
09/04/2019,BIBO NUNES,PSL,RS,"Sr. Presidente, vamos seguir. Não cabe. (Intervenção fora do microfone.)"
09/04/2019,FELIPE FRANCISCHINI,PSL,PR,"Deputada Gleisi, peço vênia a V.Exa.: não cabe. V.Exa. não é membro da Comissão, então, não é dada questão de ordem."
09/04/2019,GLEISI HOFFMANN,PT,PR,Sou Líder.
09/04/2019,FELIPE FRANCISCHINI,PSL,PR,"Mesmo sendo Líder, não é dada questão de ordem em Comissão para quem não é membro. Vou seguir o Regimento Interno. (Intervenções fora do microfone.)"
09/04/2019,FELIPE FRANCISCHINI,PSL,PR,Mesmo reclamação. Reclamação também.
09/04/2019,GLEISI HOFFMANN,PT,PR,Eu estou pedindo esclarecimento sobre a matéria. E o faço porque a matéria abriu precedente para publicar. Que matéria é essa?
09/04/2019,FELIPE FRANCISCHINI,PSL,PR,"Respondo a V.Exa.de maneira oportuna daqui a pouco, Deputada Gleisi. Deputado Ivan Valente, trata-se de questão de ordem?"
09/04/2019,IVAN VALENTE,PSOL,SP,Não. Quero só uma informação de V.Exa. O Relator não está presente?
09/04/2019,FELIPE FRANCISCHINI,PSL,PR,"O Relator está ali, Deputado."
09/04/2019,IVAN VALENTE,PSOL,SP,"Então, eu queria entender o seguinte: ele vai ler e entregar o relatório antes? Podemos obter essa informação? Reunião de: 09/04/2019"
09/04/2019,FELIPE FRANCISCHINI,PSL,PR,"Deputado, não há questão de ordem. O Deputado Pompeo de Mattos fará questão de ordem?  (Pausa.) Com a palavra o Deputado Pompeo de Mattos. Qual é o artigo, Deputado?"
09/04/2019,ERIKA KOKAY,PT,DF,Presidente...
09/04/2019,POMPEO DE MATTOS,PDT,RS,"Presidente, na verdade é uma questão de ordem um tanto diferente em razão da pauta, em razão do coletivo."
09/04/2019,FELIPE FRANCISCHINI,PSL,PR,"Deputado, qual é o artigo da questão de ordem?"
09/04/2019,POMPEO DE MATTOS,PDT,RS,Art. 95.
09/04/2019,FELIPE FRANCISCHINI,PSL,PR,"Esse é o geral, Deputado. Tem de especificar."
09/04/2019,POMPEO DE MATTOS,PDT,RS,"É o geral, mas vou apresentar a questão de ordem."
09/04/2019,FELIPE FRANCISCHINI,PSL,PR,"As matérias já foram decididas. Todas as que foram levantadas foram decididas. Passemos aos requerimentos, para que possamos enfrentá-los."
09/04/2019,RENILDO CALHEIROS,PcdoB,PE,Permita que S.Exa. apresente a questão.
09/04/2019,FELIPE FRANCISCHINI,PSL,PR,"Deputado, se V.Exa. puder trazer até a mesa, porque realmente não é questão de ordem."
09/04/2019,IVAN VALENTE,PSOL,SP,A questão de ordem não é obrigatória.
09/04/2019,FELIPE FRANCISCHINI,PSL,PR,O que V.Exa. está tentando já foi decidido.
09/04/2019,POMPEO DE MATTOS,PDT,RS,"Vou apresentar a V.Exa. a questão de ordem, Presidente. Passarei a ler, inclusive eu a tenho por escrito."
09/04/2019,FELIPE FRANCISCHINI,PSL,PR,"Qual é o artigo, Deputado?"
